Filename: Z:\2020-12-20\2020-12-20_055 76Sr with beam merging _ RT100_T846 - clipped_MS100.tof
Analyze-time: Fri Feb 19 17:11:42 2021

Range: 43
Start Peak: 6199
Block size: 4
Block-Min: 0
Int-Max: 0
Peak mass: Rb85:-1e
Treshold: 0
Method: Median
a: 0.08554320834809824
t0: -0.174931057477
b: 0.575849041251
T: 800

Area1: 1 - 896

B Positions (center Block):
MS	B	Intensity	Peakposition (us)	Peakposition alt (u)	Peakposition corrected (u)
3	0.5758496085025206	48	14545.73988	84.9114080905742	84.911241165832
7	0.575849914795813	55	14545.747599999998	84.91149822337368	84.91124116583204
11	0.5758501845878322	41	14545.7544	84.91157761499834	84.911241165832
15	0.5758500020814664	54	14545.7498	84.91152390889524	84.911241165832
19	0.5758496648414424	51	14545.7413	84.9114246694016	84.91124116583202
23	0.5758493593416558	43	14545.7336	84.91133477014566	84.91124116583202
27	0.575849525977903	35	14545.737799999998	84.91138380609756	84.91124116583202
31	0.5758502665834458	58	14545.756466666666	84.9116017438328	84.91124116583202
35	0.575850200457951	45	14545.754799999998	84.91158228509506	84.91124116583202
39	0.5758501607826542	55	14545.753799999998	84.91157060985348	84.911241165832
43	0.5758502824535648	55	14545.756866666666	84.9116064139302	84.911241165832
47	0.5758501211073572	63	14545.7528	84.91155893461274	84.91124116583202
51	0.575850097302179	45	14545.752199999998	84.91155192946864	84.91124116583198
55	0.5758497640296848	37	14545.7438	84.91145385748196	84.91124116583202
59	0.575849605328497	53	14545.7398	84.9114071565558	84.911241165832
63	0.5758498195751004	51	14545.7452	84.91147020280914	84.911241165832
67	0.5758498989256944	49	14545.7472	84.91149355327926	84.911241165832
71	0.575849642358774	46	14545.740733333332	84.91141805343742	84.91124116583202
75	0.5758497672037084	43	14545.74388	84.9114547915006	84.91124116583202
79	0.5758497058392492	42	14545.742333333332	84.91143673380752	84.911241165832
83	0.5758492847520976	51	14545.73172	84.91131282072416	84.911241165832
87	0.5758484666474748	47	14545.711099999998	84.91107207778738	84.91124116583202
91	0.5758486689914892	44	14545.716199999998	84.91113162135296	84.911241165832
95	0.5758485896408952	50	14545.714199999998	84.9111082709326	84.911241165832
99	0.5758488594329144	42	14545.721	84.91118766237494	84.91124116583202
103	0.5758489673497222	39	14545.72372	84.9112194189623	84.91124116583202
107	0.57584917683529	46	14545.729	84.91128106411936	84.91124116583202
111	0.575848907043271	54	14545.7222	84.91120167263336	84.91124116583198
115	0.5758492085755276	44	14545.7298	84.91129040429664	84.91124116583202
119	0.5758493355364778	37	14545.733	84.91132776501084	84.91124116583198
123	0.5758489758137856	47	14545.723933333332	84.91122190967526	84.91124116583198
127	0.5758488488528354	39	14545.720733333334	84.91118454898438	84.911241165832
131	0.5758490879626248	38	14545.72676	84.91125491162576	84.91124116583202
135	0.575849475193523	47	14545.736519999998	84.91136886180594	84.911241165832
139	0.5758493037962402	54	14545.732199999998	84.91131842483152	84.911241165832
143	0.5758490392942606	41	14545.725533333332	84.91124059002382	84.91124116583202
147	0.5758487377620038	53	14545.717933333334	84.91115185838656	84.91124116583202
151	0.5758488805930728	52	14545.721533333334	84.91119388915632	84.911241165832
155	0.5758490244821498	56	14545.72516	84.91123623127566	84.91124116583202
159	0.5758490445843002	55	14545.725666666666	84.9112421467196	84.911241165832
163	0.5758491949725686	54	14545.729457142856	84.91128640136344	84.91124116583202
167	0.5758491609651712	45	14545.728599999998	84.91127639403092	84.91124116583202
171	0.5758486943836792	44	14545.71684	84.91113909348816	84.911241165832
175	0.5758486901516476	46	14545.716733333332	84.91113784813228	84.91124116583198
179	0.575848867367974	53	14545.7212	84.91118999741796	84.91124116583198
183	0.5758491323989574	55	14545.727879999998	84.91126798787204	84.91124116583202
187	0.5758487451680594	44	14545.71812	84.91115403775954	84.911241165832
191	0.5758487959524394	66	14545.7194	84.91116898203226	84.91124116583202
195	0.5758487324719642	44	14545.717799999998	84.91115030169156	84.911241165832
199	0.5758486689914892	56	14545.716199999998	84.91113162135296	84.911241165832
203	0.575849137159993	49	14545.728	84.9112693888985	84.91124116583202
207	0.5758490879626248	44	14545.72676	84.91125491162576	84.91124116583202
211	0.5758497798998036	49	14545.7442	84.91145852757526	84.911241165832
215	0.575849771964744	45	14545.743999999998	84.9114561925286	84.91124116583202
219	0.5758494670317476	50	14545.736314285714	84.91136646004492	84.911241165832
223	0.5758491874153692	48	14545.729266666666	84.91128417751172	84.91124116583202
227	0.575849502172725	39	14545.7372	84.91137680096072	84.911241165832
231	0.5758498354452192	31	14545.7456	84.91147487290292	84.91124116583202
235	0.5758499227308724	49	14545.7478	84.91150055842094	84.911241165832
239	0.5758501687177134	45	14545.753999999998	84.91157294490174	84.911241165832
243	0.5758500734970008	51	14545.7516	84.91154492432488	84.91124116583202
247	0.5758507003666924	56	14545.767399999998	84.9117293932076	84.91124116583202
251	0.5758503385279844	53	14545.75828	84.91162291494198	84.91124116583198
255	0.5758503723842378	63	14545.759133333334	84.91163287781782	84.91124116583202
259	0.5758500292873842	52	14545.750485714284	84.91153191477288	84.911241165832
263	0.5758502369592242	35	14545.75572	84.91159302631802	84.911241165832
267	0.5758508828730584	43	14545.772	84.91178309937568	84.91124116583202
271	0.5758507003666924	42	14545.767399999998	84.9117293932076	84.91124116583202
275	0.575850057626882	61	14545.751199999998	84.91154025422918	84.911241165832
279	0.5758501528475948	43	14545.7536	84.91156827480528	84.91124116583202
283	0.5758505734057422	46	14545.7642	84.91169203240504	84.91124116583202
287	0.5758506368862174	52	14545.7658	84.9117107128053	84.91124116583202
291	0.5758504570248714	43	14545.761266666666	84.91165778500992	84.91124116583202
295	0.5758506686264548	52	14545.7666	84.91172005300618	84.911241165832
299	0.57585112205842	65	14545.778028571428	84.91185348450364	84.91124116583198
303	0.5758510574443648	47	14545.776399999998	84.91183447050886	84.91124116583202
307	0.5758504543798514	51	14545.7612	84.9116570066601	84.91124116583202
311	0.5758501396224956	55	14545.753266666666	84.91156438305832	84.91124116583202
315	0.5758502321981886	53	14545.755599999998	84.91159162528888	84.91124116583202
319	0.5758506315961778	49	14545.765666666666	84.9117091561052	84.91124116583202
323	0.5758504781850296	51	14545.7618	84.91166401180854	84.91124116583202
327	0.5758503240181614	41	14545.757914285714	84.91161864513826	84.91124116583204
