Multi MS Window Export

Acqusition Time: 20.12.2020 / 14:23:51
Number of Spectra: 896
Min Mass: 75.84294481179264 m/z
Max Mass: 76.03969244970524 m/z
Number of Accumulations: 30
Interscandelay: 100
Time Multiplicity: 2
Overflow Number: 0
Calibration-B: 0.575849041251
Time Step: 0.0016
comment:
14:38: MS 450 RT window adjusted from 9.97 to 9.975 because 76Rb went up

Clipped at MS105 when beam merging turned on.


Target:	MS "MS 1 - 896 t-res ni=1067.17"
m/z	->	N
75.93142966153152	1
75.9314463679581	0
75.93146307438652	0
75.93147978081678	0
75.93149648724888	0
75.93151319368282	0
75.9315299001186	1
75.93154660655622	1
75.93156331299566	0
75.93158001943696	2
75.93159672588008	1
75.93161343232504	1
75.93163013877184	0
75.93164684522048	1
75.93166355167098	1
75.93168025812328	0
75.93169696457744	1
75.93171367103342	0
75.93173037749126	0
75.93174708395092	1
75.93176379041244	0
75.93178049687578	0
75.93179720334096	2
75.931813909808	0
75.93183061627684	1
75.93184732274754	0
75.93186402922008	0
75.93188073569444	0
75.93189744217066	0
75.9319141486487	0
75.93193085512858	0
75.93194756161032	1
75.93196426809386	0
75.93198097457926	0
75.9319976810665	1
75.93201438755558	2
75.93203109404648	0
75.93204780053924	0
75.93206450703384	0
75.93208121353026	1
75.93209792002854	0
75.93211462652862	0
75.93213133303056	0
75.93214803953434	1
75.93216474603994	1
75.9321814525474	0
75.9321981590567	0
75.93221486556784	0
75.93223157208078	0
75.9322482785956	0
75.93226498511224	0
75.93228169163072	2
75.93229839815104	1
75.9323151046732	1
75.9323318111972	1
75.93234851772304	0
75.93236522425068	0
75.9323819307802	0
75.93239863731154	0
75.93241534384472	0
75.93243205037976	2
75.93244875691662	1
75.9324654634553	0
75.93248216999584	0
75.9324988765382	0
75.93251558308242	0
75.93253228962848	0
75.93254899617636	1
75.93256570272608	0
75.93258240927764	0
75.93259911583106	0
75.93261582238628	2
75.93263252894334	0
75.93264923550228	0
75.93266594206302	0
75.93268264862562	1
75.93269935519004	1
75.93271606175632	1
75.93273276832442	1
75.93274947489434	1
75.93276618146612	0
75.93278288803974	0
75.9327995946152	1
75.9328163011925	0
75.93283300777162	0
75.9328497143526	1
75.9328664209354	0
75.93288312752004	0
75.93289983410652	1
75.93291654069484	0
75.932933247285	2
75.932949953877	0
75.93296666047084	0
75.9329833670665	1
75.933000073664	1
75.93301678026334	0
75.93303348686454	0
75.93305019346756	0
75.93306690007242	1
75.93308360667912	0
75.93310031328766	0
75.93311701989804	1
75.93313372651026	1
75.93315043312428	2
75.93316713974018	1
75.93318384635792	1
75.93320055297748	0
75.93321725959886	3
75.9332339662221	2
75.9332506728472	3
75.9332673794741	0
75.93328408610284	1
75.93330079273344	2
75.93331749936588	1
75.93333420600014	2
75.93335091263624	2
75.9333676192742	1
75.93338432591396	2
75.93340103255558	0
75.93341773919904	1
75.93343444584434	2
75.93345115249146	2
75.93346785914044	3
75.93348456579126	1
75.9335012724439	2
75.93351797909838	1
75.93353468575468	4
75.93355139241284	5
75.93356809907284	1
75.93358480573468	7
75.93360151239836	3
75.93361821906386	2
75.93363492573122	4
75.9336516324004	2
75.93366833907142	4
75.93368504574428	4
75.93370175241898	3
75.93371845909552	8
75.9337351657739	6
75.93375187245412	6
75.93376857913616	2
75.93378528582004	2
75.93380199250576	2
75.93381869919334	9
75.93383540588274	8
75.933852112574	8
75.93386881926706	4
75.93388552596198	4
75.93390223265874	5
75.93391893935732	10
75.93393564605776	8
75.93395235276002	7
