Filename: Z:\2020-12-20\2020-12-20_055 76Sr with beam merging _ RT100_T846 - clipped_MS100.tof
Analyze-time: Fri Feb 19 17:31:40 2021

Range: 61
Start Peak: 6199
Block size: 8
Block-Min: 0
Int-Max: 0
Peak mass: Rb85:-1e
Treshold: 0
Method: Gaussian Mean
a: 0.08554320834809824
t0: -0.174931057477
b: 0.575849041251
T: 800

Area1: 1 - 896

B Positions (center Block):
MS	B	Intensity	Peakposition (us)	Peakposition alt (u)	Peakposition corrected (u)	Fit Sigma (us)	Fit Amplitude
5	0.5758496942354524	103	14545.742040864274	84.91143331916346	84.91124116583202	0.009292747131769176	6.312557075868146
13	0.5758500591650958	97	14545.75123877006	84.9115407068789	84.91124116583202	0.008451485737601568	6.512071912834132
21	0.575849540969427	95	14545.738177855366	84.91138821764528	84.91124116583202	0.007273284430698708	7.326268610192088
29	0.5758501241284544	94	14545.752876145546	84.9115598236303	84.91124116583202	0.012727320127947274	4.270899398293901
37	0.5758501740292058	102	14545.754133874042	84.91157450791352	84.91124116583204	0.00749058250020465	7.997696527222876
45	0.5758501862926434	118	14545.75444296908	84.91157811667276	84.91124116583202	0.009484235099645852	7.248281329620402
53	0.5758500149981862	82	14545.75012556076	84.91152770989464	84.91124116583198	0.008190202986415164	5.879632627225962
61	0.5758496721992828	104	14545.741485451428	84.9114268345899	84.91124116583198	0.008661611723424652	7.17130129726017
69	0.5758497924657476	95	14545.744516719598	84.91146222535056	84.91124116583202	0.00713565375296895	7.465790474384008
77	0.5758497580538156	85	14545.743649380608	84.91145209896544	84.911241165832	0.007696840114576384	6.119452914223728
85	0.575848900605731	99	14545.72203774438	84.91119977826398	84.91124116583202	0.01468213771761519	4.286522489360202
93	0.5758486116208652	96	14545.714753996358	84.9111147389562	84.91124116583204	0.005582254976205792	9.297516618420236
101	0.5758489119038718	82	14545.7223225095	84.9112031029582	84.91124116583198	0.006536754395335286	6.899292476880104
109	0.575849037848005	101	14545.725496881038	84.91124016443532	84.91124116583202	0.009810255810425086	6.13188096817624
117	0.5758492894675506	81	14545.731838851106	84.9113142083374	84.91124116583202	0.006108624607802394	7.321968371470284
125	0.575848886458689	86	14545.721681173848	84.91119561522616	84.91124116583204	0.011169054307512668	4.743252462206164
133	0.5758492783175156	86	14545.731557818932	84.91131092722398	84.91124116583202	0.00722662342057005	6.537599717089442
141	0.57584919024439	96	14545.729337971002	84.91128501000564	84.91124116583198	0.00827223871735015	7.00463652633501
149	0.5758487683419582	106	14545.71870408886	84.91116085712126	84.91124116583202	0.005642144789298148	9.858671496828148
157	0.5758490321044206	111	14545.725352116292	84.91123847427528	84.91124116583198	0.006800528058823524	9.717556715217352
165	0.5758491733433456	100	14545.728911986934	84.91128003654736	84.911241165832	0.00577588490967298	9.706771181939716
173	0.575848702315432	90	14545.717039916658	84.91114142755748	84.91124116583202	0.008640672390778692	6.265753002215586
181	0.5758489754733598	109	14545.723924753036	84.91122180949844	84.91124116583198	0.008477897692516536	7.38305236727772
189	0.5758487357665134	111	14545.717883037792	84.91115127117544	84.911241165832	0.005545687851259448	11.179247735249174
197	0.5758486601273226	101	14545.715976582226	84.91112901290334	84.911241165832	0.010473030168136216	5.553628509101492
