Filename: Z:\2020-12-20\2020-12-20_055 76Sr with beam merging _ RT100_T846 - clipped_MS100.tof
Analyze-time: Fri Feb 19 17:35:51 2021

Range: 61
Start Peak: 6188
Block size: 4
Block-Min: 0
Int-Max: 0
Peak mass: Rb85:-1e
Treshold: 0
Method: Gaussian Mean
a: 0.08554320834809824
t0: -0.174931057477
b: 0.575849041251
T: 800

Area1: 1 - 896

B Positions (center Block):
MS	B	Intensity	Peakposition (us)	Peakposition alt (u)	Peakposition corrected (u)	Fit Sigma (us)	Fit Amplitude
3	0.5758495953876034	48	14545.739549443748	84.91140423125398	84.91124116583198	0.006148354724740464	4.371770214851706
7	0.5758499058058942	55	14545.74737341269	84.91149557791334	84.91124116583198	0.012617060739107078	2.698352867710429
11	0.5758501709946212	42	14545.754057388546	84.91157361492688	84.91124116583202	0.008809744554686024	2.871902740668117
15	0.5758499817332834	55	14545.749287132184	84.91151792104156	84.91124116583202	0.007105811461698924	4.075650398991397
19	0.5758496348071524	52	14545.740542997728	84.91141583122534	84.91124116583204	0.005634578409275856	5.050075730744646
23	0.5758493616675614	43	14545.733658623518	84.91133545458844	84.91124116583202	0.007159271221401384	3.463116053918259
27	0.5758495694277908	35	14545.73889513705	84.91139659207316	84.911241165832	0.011990925441412964	1.87851322328846
31	0.5758502439865004	59	14545.755897119686	84.91159509423336	84.911241165832	0.006956583156728068	4.37119966333448
35	0.5758501845500058	46	14545.754399046596	84.91157760386714	84.911241165832	0.006913900579847554	4.160375168688242
39	0.575850151098811	56	14545.753555922602	84.91156776019102	84.91124116583198	0.008255925207539628	3.83222996292189
43	0.575850312827423	55	14545.757632227624	84.9116153520411	84.91124116583198	0.0087287294953011	3.515727898358205
47	0.575850073656432	63	14545.751604018402	84.91154497124068	84.911241165832	0.007436677472350898	4.619358653552252
51	0.575854862746178	45	14545.87231111111	84.91295426129346	84.91124116583202	-0.002020845627510346	-5
59	0.5758509431259732	2	14545.773518650634	84.9118008300112	84.91124116583202	-0.002020845627510346	-5
63	0.5758497736479146	51	14545.744042423636	84.91145668783444	84.911241165832	0.0004709763930638368	13.953740429382702
67	0.5758498829680378	49	14545.746797793644	84.91148885742528	84.911241165832	0.008700229748471354	3.456167786402933
71	0.5758496438476456	46	14545.740770859742	84.91141849156692	84.91124116583202	0.006364957170114886	4.637334840163334
75	0.5758497970366154	43	14545.744631926496	84.91146357041802	84.911241165832	0.007271903692024424	3.443203742084312
79	0.5758497101054054	42	14545.742440860096	84.91143798920744	84.911241165832	0.00872565558349269	2.923050488959332
83	0.5758492780215268	51	14545.731550358652	84.91131084012354	84.91124116583202	0.005185096949283198	3.771530057974777
87	0.5758484947385772	48	14545.711808025006	84.91108034412602	84.91124116583198	0.005384361938024192	5.019054962269956
91	0.5758486191742266	45	14545.71494437581	84.91111696167628	84.911241165832	0.005943162798654904	4.352750806827093
95	0.575848612475647	50	14545.714775540788	84.91111499049194	84.91124116583202	0.0068313466768469	3.672678130040004
99	0.5758488667585454	42	14545.721184639598	84.91118981808198	84.91124116583204	-0.004866617160265986	5.667778744950066
103	0.5758489516746136	40	14545.723324915154	84.91121480626104	84.91124116583198	0.006999508222026722	3.54995842938744
107	0.575849249556488	47	14545.730832908728	84.91130246373568	84.91124116583202	0.005958517380702764	3.439813733583889
111	0.5758488785683388	54	14545.721482300722	84.9111932933396	84.91124116583198	0.010938737083138932	2.616256933891915
115	0.5758492302401406	44	14545.730346047912	84.91129677952732	84.91124116583202	0.007083608537702722	4.350733617592424
119	0.575849395824913	37	14545.734519545912	84.91134550605138	84.91124116583204	0.005054146256760502	4.956930864007186
123	0.5758489513512802	47	14545.723316765664	84.91121471111398	84.91124116583202	0.006564168812235142	2.948726094417929
127	0.5758487945197406	39	14545.719363889398	84.91116856043326	84.91124116583198	0.011434490125844324	2.656104367729002
131	0.5758536884501964	38	14545.842713450292	84.91260869900152	84.911241165832	0.009946000337624654	2.217124825959489
135	0.5758497822943896	11	14545.744260354586	84.91145923222916	84.91124116583202	-0.004293495937485699	-2.222222222222225
139	0.5758493072852758	54	14545.732287939748	84.91131945154776	84.91124116583202	0.01639622539543924	0.7677132404886712
143	0.5758521971542998	42	14545.805125933336	84.91216985356058	84.91124116583202	0.005237175385075402	5.619440523718198
147	0.5758487403498694	48	14545.717998559452	84.91115261991536	84.91124116583202	-0.0002859460319929321	1.101838126377405
151	0.5758488632464314	53	14545.721096118166	84.9111887845752	84.91124116583202	0.004180777643049769	6.600065371519226
155	0.575849014847254	56	14545.724917156306	84.91123339602256	84.911241165832	0.008055847756525136	3.787108539120559
159	0.5758490481694244	55	14545.72575702829	84.91124320171134	84.91124116583202	-0.006025260166712038	5.470201311589918
163	0.5758491957980706	55	14545.729477949308	84.91128664428338	84.91124116583204	0.00795289652055773	4.273502908919338
167	0.575849142215724	45	14545.728127427676	84.91127087664472	84.911241165832	-0.002116614457686292	10.151526766862726
171	0.5758486905349902	44	14545.716742995334	84.91113796093816	84.911241165832	0.007888859491653724	3.615601604942002
175	0.575848700916461	46	14545.717004656154	84.9111410158836	84.91124116583198	0.011210585641108964	2.327256157308983
179	0.57584881898575	54	14545.71998054539	84.91117576002378	84.911241165832	0.007400051991287298	3.97342269242787
183	0.575849108907169	55	14545.72728789886	84.91126107496092	84.911241165832	0.007001420805110186	4.291659792674756
187	0.5758486937343076	44	14545.716823632848	84.9111389023982	84.91124116583198	0.006965584087361494	4.356548675064451
191	0.5758487649403428	67	14545.718618352502	84.91115985613104	84.91124116583202	0.004953408292144138	4.797986675729512
195	0.5758487147110714	44	14545.717352343794	84.91114507521044	84.911241165832	0.005901187734756722	6.511087819678816
199	0.5758485985252916	57	14545.714423927654	84.91111088533488	84.911241165832	0.009187251556759414	2.563307886369407
203	0.575849176175347	49	14545.728983366404	84.91128086991844	84.91124116583202	0.011431313578132648	3.062688840595871
207	0.5758490839790784	44	14545.726659596302	84.91125373939056	84.911241165832	0.006982617312087302	3.884150663434045
211	0.5758497802667868	50	14545.74420924967	84.91145863556734	84.91124116583202	0.007239167744914394	3.258359206938401
215	0.5758497680433016	45	14545.743901161606	84.9114550385673	84.91124116583202	0.00796940705110964	3.783809510901718
219	0.5758554562886202	50	14545.88727111111	84.9131289244142	84.91124116583202	0.008968519132928974	2.957501109208318
227	0.5758537339549874	1	14545.84386038036	84.91262208976904	84.911241165832	0.0011448899156007514	-11.111111111111114
235	0.5758498938340672	32	14545.747071667574	84.91149205496796	84.91124116583202	0.0011448899156007514	-11.111111111111114
239	0.5758501907091764	45	14545.754554286032	84.91157941632506	84.91124116583202	-7.238006769472422e-05	0.9431679622008838
243	0.5758499965864124	51	14545.749661499364	84.91152229186738	84.911241165832	0.05283779407493974	9.649999742725302e+21
247	0.5758537145190076	57	14545.843370504256	84.91261637031206	84.911241165832	0.00689010949935782	4.217796447215682
251	0.575850347930306	48	14545.75851698176	84.91162568176206	84.91124116583202	0.008111373848438826	3.489412363007106
255	0.575850372282972	63	14545.759130780968	84.91163284801834	84.911241165832	0.01083648962983567	2.777376887419786
259	0.575850034145329	52	14545.75060815684	84.91153334431894	84.91124116583204	-0.0002990968399958002	1.0048749368492192
263	0.5758502330288526	35	14545.755620936558	84.91159186972828	84.91124116583202	0.008669895145901284	3.444168573051245
267	0.575854030870128	44	14545.851344007792	84.91270946348754	84.911241165832	-0.005361768194232052	6.515513204727384
271	0.5758506531658648	40	14545.766210322004	84.91171550341768	84.91124116583202	0.004369349636107953	6.69029035669418
275	0.5758500750415906	61	14545.751638930764	84.91154537885088	84.91124116583202	0.003923122621747761	4.19249429716654
279	0.5758501041389952	43	14545.752372319218	84.9115539413369	84.911241165832	-0.0002981292856550713	1.0177927670361846
283	0.5758505279251858	46	14545.76305368075	84.91167864884232	84.911241165832	0.007095310826752126	3.320159763971269
287	0.5758506578788826	52	14545.766329111732	84.9117168903176	84.911241165832	0.011956843846670306	3.233293546007544
291	0.5758504507181922	43	14545.761107709344	84.9116559291439	84.91124116583202	0.00517896538291347	3.853697026074432
295	0.5758506456397236	52	14545.766020628626	84.91171328869984	84.91124116583202	0.008050087145884142	3.513030866250772
299	0.5758511038099846	65	14545.777568626908	84.91184811453162	84.91124116583202	0.006180655172833238	4.84248544795831
303	0.5758510450228154	47	14545.776086919806	84.91183081521646	84.91124116583202	0.00675222278866682	3.378642243845797
307	0.5758504491928862	51	14545.761069264616	84.9116554802922	84.91124116583202	0.007684899896690046	3.850901906227021
311	0.5758501401371368	56	14545.75327963799	84.91156453450164	84.91124116583202	0.006665440829101942	5.721398849679122
315	0.5758502310666208	53	14545.755571479288	84.91159129230268	84.91124116583204	0.00484343090761241	5.193736880463962
319	0.5758506336261076	51	14545.765717830236	84.91170975345272	84.91124116583202	0.008151410578099792	3.799086212097895
323	0.575850491386822	51	14545.762132745902	84.91166789669936	84.91124116583202	0.007146756951898978	4.444929867201621
327	0.5758502942053746	41	14545.757162866338	84.91160987213354	84.911241165832	0.007789213427933002	4.323801777691694
331	0.5758503365394346	39	14545.758229879396	84.9116223297717	84.91124116583202	0.008114881416841336	3.650894199888045
335	0.575850566227439	55	14545.764019073738	84.91168992004582	84.91124116583202	0.006064858403741442	4.721092392186794
339	0.5758503168916	54	14545.75773466358	84.91161654800592	84.91124116583202	0.005867621110823822	3.835302975030755
343	0.5758502461761428	44	14545.755952308748	84.91159573857908	84.911241165832	0.008624007709630928	2.527778575588386
347	0.575850502617657	57	14545.762415814608	84.9116712015967	84.91124116583202	0.006840380472888026	4.33475414929484
351	0.575850654671787	47	14545.766248278172	84.91171594656548	84.911241165832	0.005722998405415424	4.559840491670242
355	0.5758504173567246	39	14545.760266846888	84.9116461118673	84.91124116583202	0.005888094258204806	3.885898428579806
359	0.575850567602523	47	14545.764053732178	84.91169032469176	84.91124116583202	0.006482877578865686	5.026333030514964
363	0.5758510691861812	58	14545.776695947784	84.91183792577606	84.91124116583204	0.011043141388767054	2.575734418065775
367	0.575851228189704	54	14545.780703568022	84.91188471578892	84.91124116583202	0.006629253641614546	3.475581320927893
371	0.5758508516267736	55	14545.771212449884	84.91177390452688	84.91124116583198	0.004605997646775786	5.088925127843456
375	0.5758507976044328	54	14545.769850838374	84.91175800736586	84.911241165832	0.007404138474777332	4.167271046329567
379	0.5758509353883582	56	14545.773323627138	84.91179855306178	84.91124116583202	0.006628090312608776	4.667983950825218
383	0.5758509798526866	38	14545.774444332766	84.91181163758834	84.91124116583202	0.00757526038152365	4.103277532735048
387	0.5758511329109704	50	14545.778302105626	84.91185667808674	84.91124116583202	0.009204971426251976	3.402166092147599
391	0.5758507195678176	53	14545.767883956686	84.91173504352402	84.91124116583202	0.008267883042413792	3.883075267875294
395	0.575851011389253	45	14545.775239199312	84.91182091786038	84.911241165832	0.01036673688778126	2.257514955481213
399	0.5758508651735902	59	14545.77155389198	84.91177789095054	84.91124116583202	0.012098225449891752	2.633098095046919
403	0.575851082963951	53	14545.777043210966	84.91184198016388	84.91124116583204	0.008685291893638564	3.52755531765177
407	0.5758508395238914	43	14545.770907401572	84.91177034301006	84.911241165832	0.007161552134011148	3.67038951870462
411	0.5758507623622164	54	14545.7689625724	84.91174763663524	84.91124116583198	0.005108608627083828	5.25654092754644
415	0.5758509095048732	51	14545.772671244248	84.91179093632416	84.91124116583204	0.00772153526806659	4.034276884539725
419	0.5758511500024108	53	14545.77873288855	84.91186170758982	84.91124116583202	0.009758633957164396	2.698914230487517
423	0.5758511167754558	48	14545.77789541643	84.91185192988436	84.91124116583202	0.007601063944224042	3.93011993268458
427	0.5758511699794618	51	14545.779236402134	84.91186758624252	84.91124116583198	0.007432470078620268	3.559699341867633
431	0.5758507500198234	53	14545.768651487316	84.91174400463814	84.91124116583202	-0.005346882700941368	5.671196256166882
435	0.5758502932116754	45	14545.757137820544	84.9116095797178	84.91124116583198	0.007944700443461566	3.836428246042503
439	0.5758500607328054	52	14545.751278283554	84.9115411682084	84.91124116583202	0.010486829619239364	2.997059728487842
443	0.5758501858002074	55	14545.754430557432	84.91157797176376	84.911241165832	0.00840255663671152	3.503342499191
447	0.5758505806023408	44	14545.76438138739	84.9116941501481	84.91124116583202	0.008603504149044788	3.214300917970921
451	0.5758508577079802	52	14545.771365724262	84.91177569404438	84.91124116583202	0.008084798648346998	3.654265608207142
455	0.5758510237929614	57	14545.775551829824	84.91182456790244	84.91124116583204	0.007296462301523	4.424290839154072
459	0.5758507734576688	54	14545.769242228842	84.9117509016951	84.91124116583202	0.013934677490003038	2.006086913435426
463	0.575850588989919	56	14545.764592792944	84.91169661836076	84.91124116583202	0.00716954656942065	4.205413080174879
467	0.5758505306491326	40	14545.763122336742	84.9116794504181	84.91124116583202	0.004784328014573016	6.007619630208888
471	0.5758503130166232	40	14545.757636996338	84.91161540771702	84.911241165832	0.008198293193544288	3.97506220413414
475	0.5758502983893848	32	14545.75726832264	84.91161110336162	84.911241165832	0.006040947607393848	5.31071691669681
479	0.57585029867469	59	14545.757275513646	84.91161118731834	84.91124116583202	0.006502850979623384	3.247866183472711
483	0.5758503210635828	42	14545.75783981674	84.91161777569476	84.911241165832	0.006335136167988106	3.844167413375688
487	0.5758506384520278	48	14545.765839465624	84.91171117357638	84.911241165832	0.003272474820179867	4.467916975484784
491	0.5758503652461804	34	14545.758953421452	84.91163077730246	84.91124116583202	0.004155041418513952	6.24284045317962
495	0.5758506352441822	64	14545.76575861316	84.91171022960356	84.91124116583202	0.00907131515165714	2.836464594085506
499	0.5758509003746102	58	14545.772441119618	84.91178824956014	84.91124116583202	0.007969939710365848	3.366357400203982
503	0.575850929671421	47	14545.773179534024	84.91179687073768	84.911241165832	0.006617222115439928	2.612855198244919
507	0.5758510117023202	50	14545.775247090048	84.91182100998676	84.911241165832	0.012429457587779222	2.958029184148776
511	0.5758503462053892	46	14545.75847350592	84.91162517417096	84.91124116583202	0.00725549306203947	4.641457983584324
515	0.5758503293383988	54	14545.758048380166	84.91162021072376	84.91124116583198	0.00701304104677225	4.059931478732978
519	0.5758562078899492	46	14545.906214922168	84.91335010015048	84.91124116583202	0.006451489507859724	3.728050898218976
523	0.5758529587962774	1	14545.824322814926	84.91239398272162	84.91124116583202	0.007670128812965476	3.527532588765236
527	0.5758500004331664	50	14545.749758455256	84.91152342385048	84.91124116583202	0.008643439188372	3.861008658163391
531	0.5758502087829516	47	14545.755009828312	84.91158473489138	84.911241165832	0.0004953148766915476	-13.456790123456794
535	0.5758504300130372	49	14545.760585844188	84.91164983623942	84.91124116583202	-0.0002863878719929203	1.096311917421867
539	0.5758504406198004	43	14545.760853183416	84.91165295749084	84.911241165832	0.00825812582892356	3.783236547422759
543	0.575850314004095	46	14545.757661885172	84.91161569830024	84.91124116583202	0.005886007207181424	4.734183545354826
547	0.5758504004710716	42	14545.75984125075	84.91164114292762	84.911241165832	0.006100909924172624	4.858559924303668
551	0.5758507681645698	55	14545.769108818394	84.91174934409432	84.91124116583202	0.004516930181329776	4.940417403785438
555	0.5758505681626252	59	14545.76406784933	84.91169048951302	84.91124116583202	0.008147210776877304	3.387591142198938
559	0.5758503331385636	41	14545.758144161806	84.91162132899782	84.91124116583204	0.006737855535895612	3.184737889540886
563	0.5758502229411634	53	14545.755366680382	84.91158890122578	84.911241165832	0.005930170060929948	4.898576848497588
567	0.5758502263334988	50	14545.755452182838	84.9115898994877	84.91124116583202	0.00754021061367647	4.789009704650558
571	0.5758504426097548	39	14545.76090333942	84.91165354307458	84.91124116583202	0.008310700364656658	3.160428799851492
575	0.575850809470739	47	14545.770149923878	84.91176149926514	84.91124116583202	0.006575072749594492	4.913438357902706
579	0.5758508582683378	43	14545.77137984785	84.9117758589409	84.91124116583202	0.005753717859545836	4.791627338000304
583	0.5758502197879672	53	14545.755287205332	84.9115879733353	84.91124116583202	0.01127193747081195	2.076528415641192
587	0.5758498765654888	48	14545.74663641996	84.9114869733495	84.911241165832	0.0077602784335511	3.442744228768294
591	0.5758502158069362	45	14545.755186865036	84.91158680183802	84.91124116583198	0.011068802146246656	2.475798609096329
