Multi MS Window Export

Acqusition Time: 20.12.2020 / 14:23:51
Number of Spectra: 896
Min Mass: 75.8429164434135 m/z
Max Mass: 76.0396640077344 m/z
Number of Accumulations: 30
Interscandelay: 100
Time Multiplicity: 2
Overflow Number: 0
Calibration-B: 0.575849041251
Time Step: 0.0016
comment:
14:38: MS 450 RT window adjusted from 9.97 to 9.975 because 76Rb went up

Clipped at MS105 when beam merging turned on.


Target:	MS "MS 1 - 896 t-res ni=1067.13"
m/z	->	N
75.9318189211152	2
75.93183562758148	0
75.9318523340496	0
75.93186904051956	0
75.93188574699136	0
75.931902453465	0
75.93191915994046	1
75.9319358664178	0
75.93195257289694	0
75.93196927937792	0
75.93198598586076	1
75.93200269234542	0
75.9320193988319	2
75.93203610532024	0
75.93205281181042	0
75.93206951830244	0
75.93208622479628	0
75.93210293129198	2
75.9321196377895	1
75.93213634428886	0
75.93215305079008	0
75.93216975729312	0
75.932186463798	0
75.93220317030472	0
75.93221987681328	0
75.93223658332368	0
75.9322532898359	1
75.93226999634998	0
75.93228670286588	1
75.93230340938362	1
75.93232011590322	0
75.93233682242464	2
75.9323535289479	0
75.932370235473	0
75.93238694199992	0
75.9324036485287	1
75.9324203550593	0
75.93243706159174	1
75.93245376812604	0
75.93247047466216	1
75.93248718120012	0
75.93250388773994	0
75.93252059428156	0
75.93253730082504	0
75.93255400737034	1
75.9325707139175	1
75.9325874204665	0
75.93260412701732	0
75.93262083356998	0
75.9326375401245	0
75.93265424668084	1
75.93267095323898	1
75.932687659799	1
75.93270436636086	0
75.93272107292456	0
75.93273777949008	1
75.93275448605746	1
75.93277119262666	1
75.93278789919772	0
75.93280460577058	0
75.9328213123453	0
75.93283801892186	1
75.93285472550026	0
75.9328714320805	2
75.93288813866256	1
75.93290484524648	0
75.93292155183222	0
75.9329382584198	1
75.93295496500922	1
75.93297167160048	1
75.93298837819358	0
75.93300508478852	0
75.9330217913853	0
75.9330384979839	0
75.93305520458436	0
75.93307191118664	0
75.93308861779076	0
75.93310532439674	1
75.93312203100454	2
75.93313873761418	0
75.93315544422566	1
75.93317215083896	2
75.93318885745412	0
75.9332055640711	2
75.93322227068994	1
75.9332389773106	1
75.9332556839331	4
75.93327239055746	1
75.93328909718362	2
75.93330580381166	2
75.9333225104415	0
75.93333921707318	1
75.93335592370672	2
75.93337263034208	3
75.9333893369793	1
75.93340604361834	0
75.93342275025922	2
75.93343945690194	2
75.9334561635465	4
75.9334728701929	0
75.93348957684114	1
75.9335062834912	5
75.9335229901431	2
75.93353969679686	1
75.93355640345244	5
75.93357311010986	1
75.93358981676914	5
75.93360652343024	5
75.93362323009316	1
75.93363993675794	5
75.93365664342456	5
75.933673350093	3
75.9336900567633	2
75.93370676343542	2
75.93372347010938	5
75.93374017678518	8
75.93375688346282	6
75.93377359014232	5
75.93379029682362	2
75.93380700350678	4
75.93382371019176	8
75.9338404168786	8
75.93385712356726	5
75.93387383025778	6
75.93389053695012	6
75.9339072436443	5
75.93392395034032	11
75.93394065703816	8
75.93395736373786	3
75.93397407043938	13
75.93399077714276	13
75.93400748384796	14
75.93402419055502	12
75.9340408972639	16
75.93405760397462	12
75.93407431068718	17
75.93409101740158	13
75.93410772411782	17
75.93412443083588	17
75.9341411375558	17
75.93415784427754	25
75.93417455100114	20
75.93419125772656	23
75.93420796445382	40
75.93422467118292	40
75.93424137791386	43
75.93425808464664	58
75.93427479138124	63
75.9342914981177	75
75.934308204856	88
75.93432491159612	93
75.93434161833808	109
75.9343583250819	145
75.93437503182754	193
75.93439173857502	258
75.93440844532432	405
75.93442515207548	463
75.93444185882848	621
75.93445856558332	802
75.93447527233998	873
75.93449197909848	1004
75.93450868585884	1135
75.93452539262102	1128
75.93454209938504	1038
75.9345588061509	913
75.93457551291858	852
75.93459221968812	704
75.9346089264595	590
75.93462563323268	420
75.93464234000774	358
75.93465904678462	243
75.93467575356334	174
75.9346924603439	143
75.9347091671263	115
75.93472587391054	93
75.93474258069662	78
75.93475928748452	53
75.93477599427428	60
75.93479270106586	60
75.9348094078593	34
75.93482611465456	35
75.93484282145166	29
75.9348595282506	25
75.93487623505138	20
75.934892941854	16
75.93490964865846	15
75.93492635546474	11
75.93494306227286	19
75.93495976908284	12
75.93497647589464	17
75.93499318270828	10
75.93500988952378	15
75.93502659634108	14
75.93504330316024	3
75.93506000998124	7
75.93507671680406	6
75.93509342362874	5
75.93511013045524	5
75.9351268372836	9
75.93514354411378	2
75.9351602509458	9
75.93517695777966	3
75.93519366461536	2
75.93521037145288	2
75.93522707829226	0
75.93524378513348	3
75.93526049197652	3
75.93527719882142	1
75.93529390566812	2
75.93531061251668	2
75.93532731936708	2
75.93534402621932	3
75.9353607330734	1
75.93537743992932	1
75.93539414678706	1
75.93541085364664	0
75.93542756050808	1
75.93544426737134	0
75.93546097423646	1
75.9354776811034	2
75.93549438797218	1
75.93551109484278	0
75.93552780171524	0
75.93554450858954	1
75.93556121546568	0
75.93557792234364	0
75.93559462922344	3
75.93561133610508	1
75.93562804298858	3
75.9356447498739	0
75.93566145676104	0
75.93567816365004	0
75.93569487054088	1
75.93571157743354	1
75.93572828432806	1
75.9357449912244	2
75.9357616981226	2
75.9357784050226	1
75.93579511192446	0
75.93581181882818	0
75.9358285257337	2
75.93584523264108	1
75.9358619395503	0
75.93587864646134	0
75.93589535337422	0
75.93591206028896	0
75.93592876720552	1
75.9359454741239	0
75.93596218104416	1
75.93597888796622	1
75.93599559489014	0
75.9360123018159	0
75.93602900874348	1
75.9360457156729	0
75.93606242260418	0
75.93607912953728	2
75.93609583647222	0
75.93611254340902	0
75.93612925034762	2
75.93614595728808	0
75.93616266423038	1
75.9361793711745	0
75.93619607812048	0
75.93621278506828	0
75.93622949201794	0
75.93624619896942	0
75.93626290592274	0
75.9362796128779	0
75.9362963198349	0
75.93631302679374	0
75.9363297337544	0
75.9363464407169	0
75.93636314768126	1
75.93637985464744	0
75.93639656161548	0
75.93641326858534	0
75.93642997555704	0
75.93644668253058	0
75.93646338950596	1
75.93648009648316	0
75.93649680346222	2
75.9365135104431	0
75.93653021742584	0
75.9365469244104	1
75.9365636313968	0
75.93658033838504	0
75.9365970453751	1
75.93661375236702	0
75.93663045936078	0
75.93664716635638	0
75.9366638733538	1
75.93668058035306	0
75.93669728735416	0
75.93671399435712	0
75.9367307013619	1
75.9367474083685	0
75.93676411537696	0
75.93678082238726	0
75.9367975293994	0
75.93681423641338	0
75.93683094342918	1
75.93684765044682	0
75.93686435746632	1
75.93688106448762	0
75.9368977715108	0
75.93691447853578	1
75.93693118556264	0
75.9369478925913	0
75.9369645996218	1
75.93698130665416	0
75.93699801368836	0
75.93701472072438	0
75.93703142776224	0
75.93704813480194	0
75.93706484184348	0
75.93708154888686	0
75.93709825593208	0
75.93711496297912	0
75.93713167002802	0
75.93714837707874	1
75.93716508413132	0
75.93718179118572	0
75.93719849824196	0
75.93721520530004	0
75.93723191235996	0
75.9372486194217	0
75.9372653264853	1
75.93728203355072	0
75.937298740618	0
75.9373154476871	0
75.93733215475804	0
75.93734886183084	0
75.93736556890544	1
75.9373822759819	0
75.9373989830602	0
75.93741569014034	0
75.93743239722232	1
75.93744910430612	0
75.93746581139176	0
75.93748251847924	0
75.93749922556858	0
75.93751593265974	1
75.93753263975274	0
75.93754934684758	0
75.93756605394426	0
75.93758276104276	1
75.93759946814312	0
75.9376161752453	0
75.93763288234932	1
75.9376495894552	1
75.9376662965629	0
75.93768300367244	0
75.93769971078382	0
75.93771641789702	0
75.9377331250121	0
75.93774983212898	0
75.9377665392477	0
75.93778324636828	0
75.93779995349068	0
75.93781666061492	0
75.93783336774102	0
75.93785007486892	0
75.93786678199868	0
75.93788348913028	0
75.93790019626368	0
75.93791690339896	0
75.93793361053606	0
75.93795031767502	0
75.9379670248158	0
75.93798373195844	0
75.93800043910288	0
75.93801714624918	0
75.93803385339732	0
75.9380505605473	1
75.9380672676991	0
75.93808397485274	0
75.93810068200824	0
75.93811738916558	0
75.93813409632474	0
75.93815080348574	0
75.93816751064858	0
75.93818421781324	0
75.93820092497976	0
75.93821763214812	0
75.9382343393183	0
75.93825104649032	0
75.9382677536642	0
75.9382844608399	0
75.93830116801744	1
75.93831787519682	0
75.93833458237804	0
75.9383512895611	0
75.93836799674598	0
75.93838470393272	1
75.9384014111213	0
75.9384181183117	0
75.93843482550394	0
75.93845153269802	0
75.93846823989394	0
75.9384849470917	0
75.9385016542913	0
75.93851836149274	0
75.938535068696	0
75.9385517759011	1
75.93856848310804	1
75.93858519031684	0
75.93860189752746	0
75.93861860473992	0
75.93863531195422	0
75.93865201917036	0
75.93866872638834	0
75.93868543360814	0
75.9387021408298	1
75.93871884805328	0
75.9387355552786	1
75.93875226250576	0
75.93876896973478	0
75.93878567696562	0
75.93880238419828	0
75.9388190914328	0
75.93883579866916	0
75.93885250590736	0
75.93886921314738	1
75.93888592038924	0
75.93890262763294	0
75.9389193348785	0
75.93893604212588	0
75.9389527493751	1
75.93896945662614	0
75.93898616387904	0
75.93900287113378	0
75.93901957839034	0
75.93903628564876	0
75.939052992909	0
75.93906970017108	0
75.939086407435	0
75.93910311470076	0
75.93911982196836	0
75.9391365292378	0
75.93915323650908	0
75.93916994378218	0
75.93918665105714	0
75.93920335833392	0
75.93922006561254	0
75.93923677289298	0
75.93925348017528	1
75.93927018745944	0
75.93928689474542	0
75.93930360203322	0
75.93932030932288	1
75.93933701661436	0
75.9393537239077	0
75.93937043120286	0
75.93938713849986	0
75.9394038457987	0
75.93942055309938	0
75.9394372604019	0
75.93945396770624	0
75.93947067501244	1
75.93948738232046	0
75.93950408963034	0
75.93952079694206	1
75.9395375042556	0
75.93955421157098	0
75.9395709188882	0
75.93958762620726	0
75.93960433352816	0
75.93962104085088	0
75.93963774817546	0
75.93965445550188	1
75.93967116283012	2
75.9396878701602	0
75.93970457749212	0
75.93972128482588	0
75.93973799216148	0
75.93975469949892	0
75.9397714068382	0
75.9397881141793	0
75.93980482152224	2
75.93982152886704	0
75.93983823621366	0
75.93985494356212	1
75.93987165091242	0
75.93988835826456	0
75.93990506561854	1
75.93992177297434	0
75.939938480332	0
75.9399551876915	1
75.93997189505282	0
75.93998860241598	0
75.940005309781	1
75.94002201714784	0
75.94003872451652	0
75.94005543188704	0
75.9400721392594	1
75.9400888466336	0
75.94010555400962	0
75.9401222613875	1
75.9401389687672	1
75.94015567614874	1
75.94017238353212	1
75.94018909091734	0
75.9402057983044	1
75.9402225056933	0
75.94023921308404	0
