Filename: Z:\2020-12-20\2020-12-20_055 76Sr with beam merging _ RT100_T846 - clipped_MS100.tof
Analyze-time: Fri Feb 19 17:55:31 2021

Range: 61
Start Peak: 6179
Block size: 2
Block-Min: 0
Int-Max: 0
Peak mass: Rb85:-1e
Treshold: 0
Method: Gaussian Mean
a: 0.08554320834809824
t0: -0.174931057477
b: 0.575849041251
T: 800

Area1: 1 - 896

B Positions (center Block):
MS	B	Intensity	Peakposition (us)	Peakposition alt (u)	Peakposition corrected (u)	Fit Sigma (us)	Fit Amplitude
2	0.5758497011055868	23	14545.742214023262	84.9114353408348	84.91124116583198	0.007031606995582556	1.837313342693374
4	0.5758552534058056	25	14545.882157530862	84.91306922159426	84.91124116583202	-0.0004805857050037774	-13.456790123456794
12	0.5758535552987184	1	14545.839357420514	84.9125695163095	84.91124116583202	-0.0004805857050037774	-13.456790123456794
14	0.5758500743505592	27	14545.7516215136	84.9115451755013	84.91124116583202	-0.0004805857050037774	-13.456790123456794
16	0.5758498783417698	26	14545.746681190412	84.91148749605508	84.91124116583202	480901294.6222516	0.01645996126389039
18	0.5758496795255128	19	14545.741670106126	84.91142899047624	84.911241165832	0.00010147466531456648	-0.396406508603007
20	0.575855377385097	33	14545.885282379348	84.91310570527978	84.91124116583202	0.007763232207896122	2.1990350020706
30	0.5758541677917176	1	14545.854795061728	84.91274975564954	84.91124116583202	0.005729383666134516	2.229954563397128
32	0.5758496352325596	19	14545.740553719948	84.91141595640974	84.91124116583202	0.0010389794767536738	4.743144057650304
34	0.5758547787353112	21	14545.870193650794	84.91292953923396	84.911241165832	0.0001536950495683684	-13.456790123456794
36	0.5758570913223018	1	14545.92848148148	84.91361007052346	84.91124116583202	0.0001536950495683684	-13.456790123456794
38	0.5758569183591892	1	14545.924122015368	84.9135591721016	84.91124116583202	0.0001536950495683684	-13.456790123456794
58	0.575858367779671	1	14545.96065407924	84.91398569828764	84.91124116583202	0.0001536950495683684	-13.456790123456794
124	0.575860288930464	1	14546.009075917034	84.9145510439024	84.91124116583202	0.0001536950495683684	-13.456790123456794
158	0.575863302521598	1	14546.08503227695	84.91543787060162	84.91124116583202	1.592141042496755e-05	1.558641975308645
380	0.5758649459521706	1	14546.126454287604	84.91592149426708	84.911241165832	0.01800474178722165	3.244265910565474
444	0.5758652370328968	1	14546.133790860954	84.91600715274638	84.911241165832	-0.005292051130949944	-2.222222222222225
564	0.5758665558501602	1	14546.167031122908	84.9163952514031	84.91124116583202	4.485095868083704e-05	2.407407407407407
582	0.5758673601184044	1	14546.187302382514	84.91663193013636	84.91124116583198	0.00011646187689881114	-0.03940934071828136
694	0.5758669829911676	1	14546.177797041256	84.91652094971362	84.91124116583198	0.00011646187689881114	-0.03940934071828136
768	0.5758663871152682	1	14546.162778227404	84.91634559641906	84.911241165832	0.00011646187689881114	-0.03940934071828136
808	0.57586784291963	1	14546.199471194414	84.9167740082437	84.91124116583198	0.00011646187689881114	-0.03940934071828136

Error Parameters
startMS: 1
stopMS: 1
fitSlope: 2.056973174777155e-08
fitSlope [#/s]: 1.841206757842488e-08
fitShift: 0.575853834517133
tEffBlock: 122.15195530726256
tEffStart: 0
tEffStop: 895
tFitStdev: 4.876010953756292e-06
blockSum: 207
blockCnt: 22

List of B
MS	B	Peak(us)	Intensity	Mode
55	0.5758581503665988	14545.96065407924	1	12-36-Fit	ch1
56	0.575858222837623	14545.96065407924	1	12-36-Fit	ch1
57	0.575858295308647	14545.96065407924	1	12-36-Fit	ch1
58	0.575858367779671	14546.009075917034	1	13-56	ch1
59	0.5758583968880164	14546.009075917034	1	13-56	ch1
60	0.5758584259963618	14546.009075917034	1	13-56	ch1
61	0.5758584551047072	14546.009075917034	1	13-56-Fit	ch1
62	0.5758584842130524	14546.009075917034	1	13-56-Fit	ch1
63	0.5758585133213978	14546.009075917034	1	13-56-Fit	ch1
64	0.5758585424297432	14546.009075917034	1	13-56-Fit	ch1
65	0.5758585715380886	14546.009075917034	1	13-56-Fit	ch1
66	0.5758586006464338	14546.009075917034	1	13-56-Fit	ch1
67	0.5758586297547792	14546.009075917034	1	13-56-Fit	ch1
68	0.5758586588631246	14546.009075917034	1	13-56-Fit	ch1
69	0.57585868797147	14546.009075917034	1	13-56-Fit	ch1
70	0.5758587170798154	14546.009075917034	1	13-56-Fit	ch1
71	0.5758587461881606	14546.009075917034	1	13-56-Fit	ch1
72	0.575858775296506	14546.009075917034	1	13-56-Fit	ch1
73	0.5758588044048514	14546.009075917034	1	13-56-Fit	ch1
74	0.5758588335131968	14546.009075917034	1	13-56-Fit	ch1
75	0.575858862621542	14546.009075917034	1	13-56-Fit	ch1
76	0.5758588917298874	14546.009075917034	1	13-56-Fit	ch1
77	0.5758589208382326	14546.009075917034	1	13-56-Fit	ch1
78	0.575858949946578	14546.009075917034	1	13-56-Fit	ch1
79	0.5758589790549234	14546.009075917034	1	13-56-Fit	ch1
80	0.5758590081632688	14546.009075917034	1	13-56-Fit	ch1
81	0.575859037271614	14546.009075917034	1	13-56-Fit	ch1
82	0.5758590663799594	14546.009075917034	1	13-56-Fit	ch1
83	0.5758590954883048	14546.009075917034	1	13-56-Fit	ch1
84	0.5758591245966502	14546.009075917034	1	13-56-Fit	ch1
85	0.5758591537049954	14546.009075917034	1	13-56-Fit	ch1
86	0.5758591828133408	14546.009075917034	1	13-56-Fit	ch1
87	0.5758592119216862	14546.009075917034	1	13-56-Fit	ch1
88	0.5758592410300316	14546.009075917034	1	13-56-Fit	ch1
89	0.5758592701383768	14546.009075917034	1	13-56-Fit	ch1
90	0.5758592992467222	14546.009075917034	1	13-56-Fit	ch1
91	0.5758593283550676	14546.009075917034	1	13-56-Fit	ch1
92	0.575859357463413	14546.009075917034	1	13-56-Fit	ch1
93	0.5758593865717582	14546.009075917034	1	13-56-Fit	ch1
94	0.5758594156801036	14546.009075917034	1	13-56-Fit	ch1
95	0.575859444788449	14546.009075917034	1	13-56-Fit	ch1
96	0.5758594738967944	14546.009075917034	1	13-56-Fit	ch1
97	0.5758595030051396	14546.009075917034	1	13-56-Fit	ch1
98	0.575859532113485	14546.009075917034	1	13-56-Fit	ch1
99	0.5758595612218302	14546.009075917034	1	13-56-Fit	ch1
100	0.5758595903301756	14546.009075917034	1	13-56-Fit	ch1
101	0.575859619438521	14546.009075917034	1	13-56-Fit	ch1
102	0.5758596485468664	14546.009075917034	1	13-56-Fit	ch1
103	0.5758596776552118	14546.009075917034	1	13-56-Fit	ch1
104	0.575859706763557	14546.009075917034	1	13-56-Fit	ch1
105	0.5758597358719024	14546.009075917034	1	13-56-Fit	ch1
106	0.5758597649802478	14546.009075917034	1	13-56-Fit	ch1
107	0.5758597940885932	14546.009075917034	1	13-56-Fit	ch1
108	0.5758598231969384	14546.009075917034	1	13-56-Fit	ch1
109	0.5758598523052838	14546.009075917034	1	13-56-Fit	ch1
110	0.5758598814136292	14546.009075917034	1	13-56-Fit	ch1
111	0.5758599105219746	14546.009075917034	1	13-56-Fit	ch1
112	0.5758599396303198	14546.009075917034	1	13-56-Fit	ch1
113	0.5758599687386652	14546.009075917034	1	13-56-Fit	ch1
114	0.5758599978470106	14546.009075917034	1	13-56-Fit	ch1
115	0.575860026955356	14546.009075917034	1	13-56-Fit	ch1
116	0.5758600560637012	14546.009075917034	1	13-56-Fit	ch1
117	0.5758600851720466	14546.009075917034	1	13-56-Fit	ch1
118	0.575860114280392	14546.009075917034	1	13-56-Fit	ch1
119	0.5758601433887374	14546.009075917034	1	13-56-Fit	ch1
120	0.5758601724970826	14546.009075917034	1	13-56-Fit	ch1
121	0.575860201605428	14546.009075917034	1	13-56-Fit	ch1
122	0.5758602307137732	14546.009075917034	1	13-56-Fit	ch1
123	0.5758602598221186	14546.009075917034	1	13-56-Fit	ch1
124	0.575860288930464	14546.08503227695	1	14-122	ch1
125	0.5758603775654972	14546.08503227695	1	14-122	ch1
126	0.5758604662005308	14546.08503227695	1	14-122	ch1
127	0.575860554835564	14546.08503227695	1	14-122-Fit	ch1
128	0.5758606434705974	14546.08503227695	1	14-122-Fit	ch1
129	0.5758607321056308	14546.08503227695	1	14-122-Fit	ch1
130	0.575860820740664	14546.08503227695	1	14-122-Fit	ch1
131	0.5758609093756974	14546.08503227695	1	14-122-Fit	ch1
132	0.5758609980107308	14546.08503227695	1	14-122-Fit	ch1
133	0.5758610866457642	14546.08503227695	1	14-122-Fit	ch1
134	0.5758611752807976	14546.08503227695	1	14-122-Fit	ch1
135	0.5758612639158308	14546.08503227695	1	14-122-Fit	ch1
136	0.5758613525508642	14546.08503227695	1	14-122-Fit	ch1
137	0.5758614411858976	14546.08503227695	1	14-122-Fit	ch1
138	0.575861529820931	14546.08503227695	1	14-122-Fit	ch1
139	0.5758616184559644	14546.08503227695	1	14-122-Fit	ch1
140	0.5758617070909976	14546.08503227695	1	14-122-Fit	ch1
141	0.575861795726031	14546.08503227695	1	14-122-Fit	ch1
142	0.5758618843610644	14546.08503227695	1	14-122-Fit	ch1
143	0.5758619729960976	14546.08503227695	1	14-122-Fit	ch1
144	0.5758620616311312	14546.08503227695	1	14-122-Fit	ch1
145	0.5758621502661644	14546.08503227695	1	14-122-Fit	ch1
146	0.5758622389011978	14546.08503227695	1	14-122-Fit	ch1
147	0.5758623275362312	14546.08503227695	1	14-122-Fit	ch1
148	0.5758624161712644	14546.08503227695	1	14-122-Fit	ch1
149	0.575862504806298	14546.08503227695	1	14-122-Fit	ch1
150	0.5758625934413312	14546.08503227695	1	14-122-Fit	ch1
151	0.5758626820763646	14546.08503227695	1	14-122-Fit	ch1
152	0.575862770711398	14546.08503227695	1	14-122-Fit	ch1
153	0.5758628593464312	14546.08503227695	1	14-122-Fit	ch1
154	0.5758629479814646	14546.08503227695	1	14-122-Fit	ch1
155	0.575863036616498	14546.08503227695	1	14-122-Fit	ch1
156	0.5758631252515314	14546.08503227695	1	14-122-Fit	ch1
157	0.5758632138865648	14546.08503227695	1	14-122-Fit	ch1
158	0.575863302521598	14546.126454287604	1	15-156	ch1
159	0.5758633099244386	14546.126454287604	1	15-156	ch1
160	0.575863317327279	14546.126454287604	1	15-156	ch1
161	0.5758633247301194	14546.126454287604	1	15-156-Fit	ch1
162	0.5758633321329598	14546.126454287604	1	15-156-Fit	ch1
163	0.5758633395358002	14546.126454287604	1	15-156-Fit	ch1
164	0.5758633469386406	14546.126454287604	1	15-156-Fit	ch1
165	0.575863354341481	14546.126454287604	1	15-156-Fit	ch1
166	0.5758633617443214	14546.126454287604	1	15-156-Fit	ch1
167	0.575863369147162	14546.126454287604	1	15-156-Fit	ch1
168	0.5758633765500022	14546.126454287604	1	15-156-Fit	ch1
169	0.5758633839528426	14546.126454287604	1	15-156-Fit	ch1
170	0.5758633913556832	14546.126454287604	1	15-156-Fit	ch1
171	0.5758633987585234	14546.126454287604	1	15-156-Fit	ch1
172	0.575863406161364	14546.126454287604	1	15-156-Fit	ch1
173	0.5758634135642044	14546.126454287604	1	15-156-Fit	ch1
174	0.5758634209670448	14546.126454287604	1	15-156-Fit	ch1
175	0.5758634283698852	14546.126454287604	1	15-156-Fit	ch1
176	0.5758634357727256	14546.126454287604	1	15-156-Fit	ch1
177	0.575863443175566	14546.126454287604	1	15-156-Fit	ch1
178	0.5758634505784064	14546.126454287604	1	15-156-Fit	ch1
179	0.5758634579812468	14546.126454287604	1	15-156-Fit	ch1
180	0.5758634653840874	14546.126454287604	1	15-156-Fit	ch1
181	0.5758634727869276	14546.126454287604	1	15-156-Fit	ch1
182	0.5758634801897682	14546.126454287604	1	15-156-Fit	ch1
183	0.5758634875926086	14546.126454287604	1	15-156-Fit	ch1
184	0.575863494995449	14546.126454287604	1	15-156-Fit	ch1
185	0.5758635023982894	14546.126454287604	1	15-156-Fit	ch1
186	0.5758635098011298	14546.126454287604	1	15-156-Fit	ch1
187	0.5758635172039702	14546.126454287604	1	15-156-Fit	ch1
188	0.5758635246068106	14546.126454287604	1	15-156-Fit	ch1
189	0.575863532009651	14546.126454287604	1	15-156-Fit	ch1
190	0.5758635394124914	14546.126454287604	1	15-156-Fit	ch1
191	0.5758635468153318	14546.126454287604	1	15-156-Fit	ch1
192	0.5758635542181724	14546.126454287604	1	15-156-Fit	ch1
193	0.5758635616210126	14546.126454287604	1	15-156-Fit	ch1
194	0.5758635690238532	14546.126454287604	1	15-156-Fit	ch1
195	0.5758635764266936	14546.126454287604	1	15-156-Fit	ch1
196	0.575863583829534	14546.126454287604	1	15-156-Fit	ch1
197	0.5758635912323744	14546.126454287604	1	15-156-Fit	ch1
198	0.5758635986352148	14546.126454287604	1	15-156-Fit	ch1
199	0.5758636060380552	14546.126454287604	1	15-156-Fit	ch1
200	0.5758636134408956	14546.126454287604	1	15-156-Fit	ch1
201	0.575863620843736	14546.126454287604	1	15-156-Fit	ch1
202	0.5758636282465764	14546.126454287604	1	15-156-Fit	ch1
203	0.5758636356494168	14546.126454287604	1	15-156-Fit	ch1
204	0.5758636430522572	14546.126454287604	1	15-156-Fit	ch1
205	0.5758636504550978	14546.126454287604	1	15-156-Fit	ch1
206	0.575863657857938	14546.126454287604	1	15-156-Fit	ch1
207	0.5758636652607786	14546.126454287604	1	15-156-Fit	ch1
208	0.575863672663619	14546.126454287604	1	15-156-Fit	ch1
209	0.5758636800664594	14546.126454287604	1	15-156-Fit	ch1
210	0.5758636874692998	14546.126454287604	1	15-156-Fit	ch1
211	0.5758636948721402	14546.126454287604	1	15-156-Fit	ch1
212	0.5758637022749806	14546.126454287604	1	15-156-Fit	ch1
213	0.575863709677821	14546.126454287604	1	15-156-Fit	ch1
214	0.5758637170806614	14546.126454287604	1	15-156-Fit	ch1
215	0.575863724483502	14546.126454287604	1	15-156-Fit	ch1
216	0.5758637318863422	14546.126454287604	1	15-156-Fit	ch1
217	0.5758637392891828	14546.126454287604	1	15-156-Fit	ch1
218	0.5758637466920232	14546.126454287604	1	15-156-Fit	ch1
219	0.5758637540948636	14546.126454287604	1	15-156-Fit	ch1
220	0.575863761497704	14546.126454287604	1	15-156-Fit	ch1
221	0.5758637689005444	14546.126454287604	1	15-156-Fit	ch1
222	0.5758637763033848	14546.126454287604	1	15-156-Fit	ch1
223	0.5758637837062252	14546.126454287604	1	15-156-Fit	ch1
224	0.5758637911090656	14546.126454287604	1	15-156-Fit	ch1
225	0.575863798511906	14546.126454287604	1	15-156-Fit	ch1
226	0.5758638059147464	14546.126454287604	1	15-156-Fit	ch1
227	0.5758638133175868	14546.126454287604	1	15-156-Fit	ch1
228	0.5758638207204272	14546.126454287604	1	15-156-Fit	ch1
229	0.5758638281232676	14546.126454287604	1	15-156-Fit	ch1
230	0.5758638355261082	14546.126454287604	1	15-156-Fit	ch1
231	0.5758638429289484	14546.126454287604	1	15-156-Fit	ch1
232	0.575863850331789	14546.126454287604	1	15-156-Fit	ch1
233	0.5758638577346294	14546.126454287604	1	15-156-Fit	ch1
234	0.5758638651374698	14546.126454287604	1	15-156-Fit	ch1
235	0.5758638725403102	14546.126454287604	1	15-156-Fit	ch1
236	0.5758638799431506	14546.126454287604	1	15-156-Fit	ch1
237	0.575863887345991	14546.126454287604	1	15-156-Fit	ch1
238	0.5758638947488314	14546.126454287604	1	15-156-Fit	ch1
239	0.5758639021516718	14546.126454287604	1	15-156-Fit	ch1
240	0.5758639095545124	14546.126454287604	1	15-156-Fit	ch1
241	0.5758639169573526	14546.126454287604	1	15-156-Fit	ch1
242	0.5758639243601932	14546.126454287604	1	15-156-Fit	ch1
243	0.5758639317630336	14546.126454287604	1	15-156-Fit	ch1
244	0.575863939165874	14546.126454287604	1	15-156-Fit	ch1
245	0.5758639465687144	14546.126454287604	1	15-156-Fit	ch1
246	0.5758639539715548	14546.126454287604	1	15-156-Fit	ch1
247	0.5758639613743952	14546.126454287604	1	15-156-Fit	ch1
248	0.5758639687772356	14546.126454287604	1	15-156-Fit	ch1
249	0.575863976180076	14546.126454287604	1	15-156-Fit	ch1
250	0.5758639835829164	14546.126454287604	1	15-156-Fit	ch1
251	0.5758639909857568	14546.126454287604	1	15-156-Fit	ch1
252	0.5758639983885974	14546.126454287604	1	15-156-Fit	ch1
253	0.5758640057914378	14546.126454287604	1	15-156-Fit	ch1
254	0.575864013194278	14546.126454287604	1	15-156-Fit	ch1
255	0.5758640205971186	14546.126454287604	1	15-156-Fit	ch1
256	0.575864027999959	14546.126454287604	1	15-156-Fit	ch1
257	0.5758640354027994	14546.126454287604	1	15-156-Fit	ch1
258	0.5758640428056398	14546.126454287604	1	15-156-Fit	ch1
259	0.5758640502084802	14546.126454287604	1	15-156-Fit	ch1
260	0.5758640576113206	14546.126454287604	1	15-156-Fit	ch1
261	0.575864065014161	14546.126454287604	1	15-156-Fit	ch1
262	0.5758640724170014	14546.126454287604	1	15-156-Fit	ch1
263	0.5758640798198418	14546.126454287604	1	15-156-Fit	ch1
264	0.5758640872226822	14546.126454287604	1	15-156-Fit	ch1
265	0.5758640946255228	14546.126454287604	1	15-156-Fit	ch1
266	0.575864102028363	14546.126454287604	1	15-156-Fit	ch1
267	0.5758641094312036	14546.126454287604	1	15-156-Fit	ch1
268	0.575864116834044	14546.126454287604	1	15-156-Fit	ch1
269	0.5758641242368844	14546.126454287604	1	15-156-Fit	ch1
270	0.5758641316397248	14546.126454287604	1	15-156-Fit	ch1
271	0.5758641390425652	14546.126454287604	1	15-156-Fit	ch1
272	0.5758641464454056	14546.126454287604	1	15-156-Fit	ch1
273	0.575864153848246	14546.126454287604	1	15-156-Fit	ch1
274	0.5758641612510864	14546.126454287604	1	15-156-Fit	ch1
275	0.575864168653927	14546.126454287604	1	15-156-Fit	ch1
276	0.5758641760567672	14546.126454287604	1	15-156-Fit	ch1
277	0.5758641834596078	14546.126454287604	1	15-156-Fit	ch1
278	0.5758641908624482	14546.126454287604	1	15-156-Fit	ch1
279	0.5758641982652886	14546.126454287604	1	15-156-Fit	ch1
280	0.575864205668129	14546.126454287604	1	15-156-Fit	ch1
281	0.5758642130709694	14546.126454287604	1	15-156-Fit	ch1
282	0.5758642204738098	14546.126454287604	1	15-156-Fit	ch1
283	0.5758642278766502	14546.126454287604	1	15-156-Fit	ch1
284	0.5758642352794906	14546.126454287604	1	15-156-Fit	ch1
285	0.575864242682331	14546.126454287604	1	15-156-Fit	ch1
286	0.5758642500851714	14546.126454287604	1	15-156-Fit	ch1
287	0.5758642574880118	14546.126454287604	1	15-156-Fit	ch1
288	0.5758642648908524	14546.126454287604	1	15-156-Fit	ch1
289	0.5758642722936926	14546.126454287604	1	15-156-Fit	ch1
290	0.5758642796965332	14546.126454287604	1	15-156-Fit	ch1
291	0.5758642870993736	14546.126454287604	1	15-156-Fit	ch1
292	0.575864294502214	14546.126454287604	1	15-156-Fit	ch1
293	0.5758643019050544	14546.126454287604	1	15-156-Fit	ch1
294	0.5758643093078948	14546.126454287604	1	15-156-Fit	ch1
295	0.5758643167107352	14546.126454287604	1	15-156-Fit	ch1
296	0.5758643241135756	14546.126454287604	1	15-156-Fit	ch1
297	0.575864331516416	14546.126454287604	1	15-156-Fit	ch1
298	0.5758643389192564	14546.126454287604	1	15-156-Fit	ch1
299	0.5758643463220968	14546.126454287604	1	15-156-Fit	ch1
300	0.5758643537249374	14546.126454287604	1	15-156-Fit	ch1
301	0.5758643611277776	14546.126454287604	1	15-156-Fit	ch1
302	0.5758643685306182	14546.126454287604	1	15-156-Fit	ch1
303	0.5758643759334586	14546.126454287604	1	15-156-Fit	ch1
304	0.575864383336299	14546.126454287604	1	15-156-Fit	ch1
305	0.5758643907391394	14546.126454287604	1	15-156-Fit	ch1
306	0.5758643981419798	14546.126454287604	1	15-156-Fit	ch1
307	0.5758644055448202	14546.126454287604	1	15-156-Fit	ch1
308	0.5758644129476606	14546.126454287604	1	15-156-Fit	ch1
309	0.575864420350501	14546.126454287604	1	15-156-Fit	ch1
310	0.5758644277533416	14546.126454287604	1	15-156-Fit	ch1
311	0.5758644351561818	14546.126454287604	1	15-156-Fit	ch1
312	0.5758644425590222	14546.126454287604	1	15-156-Fit	ch1
313	0.5758644499618628	14546.126454287604	1	15-156-Fit	ch1
314	0.575864457364703	14546.126454287604	1	15-156-Fit	ch1
315	0.5758644647675436	14546.126454287604	1	15-156-Fit	ch1
316	0.575864472170384	14546.126454287604	1	15-156-Fit	ch1
317	0.5758644795732244	14546.126454287604	1	15-156-Fit	ch1
318	0.5758644869760648	14546.126454287604	1	15-156-Fit	ch1
319	0.5758644943789052	14546.126454287604	1	15-156-Fit	ch1
320	0.5758645017817456	14546.126454287604	1	15-156-Fit	ch1
321	0.575864509184586	14546.126454287604	1	15-156-Fit	ch1
322	0.5758645165874264	14546.126454287604	1	15-156-Fit	ch1
323	0.5758645239902668	14546.126454287604	1	15-156-Fit	ch1
324	0.5758645313931072	14546.126454287604	1	15-156-Fit	ch1
325	0.5758645387959478	14546.126454287604	1	15-156-Fit	ch1
326	0.5758645461987882	14546.126454287604	1	15-156-Fit	ch1
327	0.5758645536016286	14546.126454287604	1	15-156-Fit	ch1
328	0.575864561004469	14546.126454287604	1	15-156-Fit	ch1
329	0.5758645684073094	14546.126454287604	1	15-156-Fit	ch1
